source_url,target_url,similarity,reason
https://www.getmaxim.ai/docs/cookbooks/integrations/react-agent,https://getmaxim.ai/docs/cookbooks/integrations/agno,0.7582,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/integrations/react-agent,https://www.getmaxim.ai/docs/sdk/python/integrations/langgraph/langgraph-with-decorator,0.5089,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/integrations/smolagents,https://getmaxim.ai/docs/cookbooks/integrations/agno,0.7692,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/integrations/smolagents,https://www.getmaxim.ai/docs/sdk/python/integrations/agno/agno,0.5906,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/integrations/smolagents,https://www.getmaxim.ai/docs/sdk/python/integrations/smolagents/smolagents,0.584,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/integrations/together,https://www.getmaxim.ai/docs/sdk/python/integrations/groq/groq,0.6046,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/integrations/together,https://www.getmaxim.ai/docs/sdk/python/references/logger/openai/async_completions,0.5,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/integrations/vercel,https://www.getmaxim.ai/docs/sdk/typescript/integrations/vercel/vercel,0.6194,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/integrations/vercel,https://www.getmaxim.ai/docs/sdk/python/integrations/openai/one-line-integration,0.5952,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/integrations/vercel,https://www.getmaxim.ai/docs/sdk/python/integrations/groq/groq,0.547,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/platform-features/prompt-partials,https://www.getmaxim.ai/docs/library/prompt-partials,0.724,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/platform-features/prompt-partials,https://getmaxim.ai/docs/library/prompt-partials,0.724,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/platform-features/prompt-partials,https://www.getmaxim.ai/docs/offline-evals/via-ui/prompts/prompt-partials,0.6754,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/sdk/sdk_custom_evaluator,https://www.getmaxim.ai/docs/offline-evals/via-sdk/prompts/quickstart,0.6384,High semantic similarity; add contextual link
