cluster,url,title,pagerank,semantic_sim,tfidf_sim,total_sim,cluster_keywords,excerpt
0,https://www.getmaxim.ai/docs/sdk/typescript/reference/core/classes/Generation,Generation - Maxim Docs,0.0011387442141689314,0.8426,0.7825,0.8185,"src, lib, defined src, src lib, ts, defined, lib logger, logger components, void, components, logger, string, lib models, components generation, generation ts","Class: Generation
Defined in: src/lib/logger/components/generation.ts:124 Represents an LLM generation or completion. The Generation class tracks the complete lifecycle of LLM requests, including input messages, model parameters, results, and any errors. It supports both chat and text completion formats. GenerationExample
Extends
Constructors
Constructor
new Generation(Defined in: src/lib/logger/components/generation.ts:148 Creates a new generation log entry.config
,writer
):Generation
Parameter"
1,https://www.getmaxim.ai/docs/prompts/prompt/update-prompt,Update Prompt - Maxim Docs,0.0011274061646626829,0.919,0.7856,0.8656,"string, api, api key, key, delete, header, id string, request delete, delete url, 123, string string, curl request, type, ai v1, api getmaxim","curl --request PUT \
--url https://api.getmaxim.ai/v1/prompts \
--header 'Content-Type: application/json' \
--header 'x-maxim-api-key: <api-key>' \
--data '
{
""workspaceId"": ""<string>"",
""id"": ""<string>"",
""name"": ""<string>"",
""description"": ""<string>"",
""folderId"": ""<string>""
}
'
{
""data"": {
""id"": ""<string>"",
""name"": ""<string>"",
""description"": ""<string>"",
""workspaceId"": ""<string>"",
""accountId"": ""<string>"",
""folderId"": ""<string>"",
""createdById"": ""<string>"",
""createdAt"": ""<string>"",
""updatedAt"": ""<st"
2,https://www.getmaxim.ai/docs/offline-evals/via-sdk/agent-http/quickstart,SDK HTTP Agent Quickstart - Maxim Docs,0.0003688203768609086,0.8024,0.4292,0.6531,"maxim, agent, trace, api, import, sdk, openai, const, context, python, logger, settings, integrate, streaming, google","How to get started with the Maxim SDK?
Get started with evaluating AI agents accessible via HTTP endpoints using the Maxim SDK. This guide will walk you through setting up the SDK and running your first agent evaluation test run.Installation
First, install the Maxim SDK for your preferred language:Getting Your API Key
Before you can use the Maxim SDK, you need to obtain an API key from the Maxim platform:- Log in to Maxim: Go to app.getmaxim.ai/login and sign in to your account
- Navigate to Set"
3,https://www.getmaxim.ai/docs/prompt-engineering/prompt-playground,Prompt Playground - Maxim Docs,0.007118019477996166,0.7742,0.5123,0.6694,"prompt, test, agent, prompts, evaluators, dataset, run, simulation, endpoint, partial, version, context, create, evaluation, variables","What is the Prompt Playground?
Prompts in Maxim provide a powerful way to experiment with prompt structures, models and configurations. Maxim’s playground allows you to iterate over prompts, test their effectiveness, and ensure they work well before integrating them into more complex workflows for your application.Selecting a model
Maxim supports a wide range of models, including:- Open-source models
- Closed models
- Custom models
Adding system and user prompts
In the prompt editor, add your sy"
4,https://www.getmaxim.ai/docs/offline-evals/via-sdk/offline-evals-via-logging,Offline Evaluations via Logging - Maxim Docs,0.0005980742167800094,0.6823,0.5322,0.6222,"logs, trace, dashboard, evaluation, span, track, metrics, human, llm, charts, audit logs, summary emails, export, emails, log","What are Offline Evaluations via Logging?
Offline evaluations allow you to test and validate your AI Agent before it goes live with end users. Unlike online evaluations that run in production, offline evals give you the opportunity to:- Test against a curated set of inputs with expected outputs
- Validate tool calls, retrieved context, and generation quality
- Run evaluations in a controlled environment
- Iterate quickly without impacting real users
withEvaluators
function, you can capture every"
5,https://www.getmaxim.ai/docs/library/evaluators/pre-built-evaluators/ai-evaluators/context-precision,Context Precision - Maxim Docs,0.0004020500039509941,0.6148,0.3719,0.5176,"input, boolean, output, string, closer, validate, string number, boolean true, number, scores, scores closer, true, text, score, str","This evaluator uses weighted cumulative precision (WCP) which prioritizes the relevance of top-ranked context nodes and rewards correct ordering. This approach is critical because LLMs tend to focus more on earlier context nodes, and incorrect ranking can lead to hallucinations.
Input
- Required Inputs:
input
: The original user querycontext
: List of context chunks retrieved for the responseexpected_output
: The expected response that should be generated
Output
Result
: Value in the continuous "
6,https://www.getmaxim.ai/docs/sdk/python/references/logger/components/base,Base - Maxim Docs,0.0010981998193122981,0.6401,0.589,0.6197,"def, str, returns, dict, class, dict str, utilities, optional, __init__, logger, dataclass, dataclass class, integration, page helpful, list","EvaluateContainerWithVariables
__init__
with_variables
EvaluateContainer
Methods:
with_variables
- Allows adding variables to be used by the evaluators.
__init__
with_variables
with_evaluators
Returns:
Base functionality for Components integration.
class EvaluateContainerWithVariables()
def __init__(id: str, entity: Entity, log_writer: LogWriter,
for_evaluators: List[str]) -> None
def with_variables(variables: Dict[str, str])
class EvaluateContainer()
with_variables
- Allows adding variables to "
