url,title,cluster,keywords_top
https://www.getmaxim.ai/docs/cookbooks/product-cookbooks/observability-processes-for-effective-error-analysis-as-a-pm,Observability Processes for Effective Error Analysis as a PM - Maxim Docs,1,logs; traces; agent; issues; drill; production; user; final; analysis; analyze; performance; coverage; omnibar; real; policy; decision; cases; directly; outputs; loop
https://www.getmaxim.ai/docs/cookbooks/product-cookbooks/pm-cookbook-foundations-of-a-repeatable-evals-process,PM Cookbook: Foundations of a Repeatable Evals Process - Maxim Docs,1,patient; quality; evals; agent; performance; failure; failure modes; test; modes; versions; metrics; agent performance; online; patient history; ll; maxim built; using maxim; use; different versions; prompt
https://www.getmaxim.ai/docs/cookbooks/product-cookbooks/prompt-engineering-with-maxim-build-compare-and-evaluate-prompts,"Prompt Engineering with Maxim: Build, Compare and Evaluate Prompts - Maxim Docs",1,code; hex; experiment prompt; random; primary; ll; performs; generating; experiment; javascript; prompt; selection; agent; functions; process; existing; creating; iterative; function; walk
https://www.getmaxim.ai/docs/cookbooks/sdk/sdk_custom_evaluator,Creating Custom Evaluators in Maxim via SDK - Maxim Docs,1,evaluator; prompt; quality evaluator; step; criteria; quality; environment; maxim; create; safety evaluator; evaluator evaluator; evaluators; safety; results; workspace; step create; pass fail; fail; id; test run
https://www.getmaxim.ai/docs/cookbooks/sdk/sdk_test_run_local_dataset,Using Local Datasets with Maxim SDK for Test Runs - Maxim Docs,1,data; data structure; structure; step; workspace; published; test; option; workspace id; evaluator; datasets; maxim; source; published deployed; api; id; python; monitor; run; deployed
https://www.getmaxim.ai/docs/dashboards/custom-logs-dashboard,Custom Logs Dashboards - Maxim Docs,4,aggregation; frequency; select; summary emails; dashboard; charts; emails; pick; group; repositories; metrics; filters; data; summary; analyze; patterns; choose; latency; configure; weekly
https://www.getmaxim.ai/docs/dashboards/live-trends-dashboard,Live Trends Dashboard - Maxim Docs,4,dashboard; live trends; trends dashboard; live; trends; run comparisons; screen; generate comparison; recent test; runs selected; visualizations; comparison dashboard; left sidebar; recent; click generate; button right; comparisons; dashboards; share; sidebar
https://www.getmaxim.ai/docs/dashboards/test-runs-comparison-dashboard,Test Runs Comparison Dashboard - Maxim Docs,4,comparison; report; comparison report; comparison dashboard; dashboard; compare; runs; metrics; latency metrics; generate comparison; runs compare; visualizations; clicking add; tab left; pick; dashboard navigate; click generate; key metrics; dashboards; descriptive
https://www.getmaxim.ai/docs/datasets/dataset-column/create-dataset-columns,Create Dataset Columns - Maxim Docs,2,columns; string; api; api key; string columns; file delimiter; conversation_history; columns header; header; columntype; columndatatype; datasets columns; string columntype; meta columndatatype; key; delimiter; delimiter string; dataset columns; string datasetid; datasetid
https://www.getmaxim.ai/docs/datasets/dataset-column/delete-dataset-columns,Delete Dataset Columns - Maxim Docs,2,columns; api; string; api key; delete; columns header; header; datasets columns; key; dataset columns; string datasetid; request delete; delete url; datasetid; datasetid string; v1 datasets; data workspaceid; header content; json header; type application
https://www.getmaxim.ai/docs/datasets/dataset-column/get-dataset-columns,Get Dataset Columns - Maxim Docs,2,string; columns; api; api key; columns header; key id; columndatatype string; string delimiter; columntype string; columntype; columndatatype; datasets columns; string columntype; meta columndatatype; key; delimiter; delimiter string; string meta; meta; v1 datasets
https://www.getmaxim.ai/docs/datasets/dataset-column/update-dataset-columns,Update Dataset Columns - Maxim Docs,2,string; columns; api; api key; columns header; columnid; columnid string; header; datasets columns; key; dataset columns; string datasetid; datasetid; datasetid string; v1 datasets; data workspaceid; request url; header content; json header; type application
https://www.getmaxim.ai/docs/datasets/dataset-entry/create-dataset-entries,Create Dataset entries - Maxim Docs,2,string; entries; value type; columnid; columnid string; string value; id string; payload; createdat; createdat string; api; type; id; api key; string entries; text payload; string rowno; cells id; string columnid; string payload
https://www.getmaxim.ai/docs/datasets/dataset-entry/delete-dataset-entries,Delete Dataset Entries - Maxim Docs,2,entries; string; delete; deleted; unique; api; api key; string entries; dataset; rowno; cells; datasets entries; rowno 123; string cells; columnid; columnid string; entries header; header; key; dataset entries
https://www.getmaxim.ai/docs/datasets/dataset-entry/get-dataset-entries,Get Dataset Entries - Maxim Docs,2,string; entries; createdat; createdat string; api; api key; id string; value type; string rowno; cells id; string columnid; string payload; deletedat null; null updatedat; dataset; rowno; cells; datasets entries; rowno 123; string cells
https://www.getmaxim.ai/docs/datasets/dataset-entry/update-dataset-entries,Update Dataset Entries - Maxim Docs,2,string; entries; value type; rowno; cells; columnid; columnid string; payload string; string value; payload; createdat; createdat string; api; type; api key; id string; string entries; text payload; string rowno; cells id
https://www.getmaxim.ai/docs/datasets/dataset-split/create-dataset-split,Create Dataset Split - Maxim Docs,2,api; string; api key; datasets splits; splits header; data string; header; rows; key; dataset split; splits; string datasetid; datasetid; datasetid string; v1 datasets; split; request post; post url; string description; description string
https://www.getmaxim.ai/docs/datasets/dataset-split/delete-dataset-split,Delete Dataset Split - Maxim Docs,2,api; delete; datasets splits; splits header; api key; splits; request delete; delete url; v1 datasets; key; datasets; curl request; ai v1; api getmaxim; header maxim; https api; key api; v1; curl; url https
https://www.getmaxim.ai/docs/datasets/dataset-split/get-dataset-splits,Get Dataset Splits - Maxim Docs,2,string; splits; api; columndatatype string; string delimiter; columntype string; datasets splits; splits header; columntype; columndatatype; string columntype; meta columndatatype; delimiter; delimiter string; api key; string meta; meta; v1 datasets; key; string type
https://www.getmaxim.ai/docs/datasets/dataset-split/update-dataset-split,Update Dataset Split - Maxim Docs,2,string; api; data id; string string; api key; id string; columndatatype string; string delimiter; columntype string; datasets splits; splits header; header; columntype; columndatatype; string columntype; meta columndatatype; key; delimiter; delimiter string; dataset split
https://www.getmaxim.ai/docs/datasets/dataset/create-dataset,Create Dataset - Maxim Docs,2,string; api; api key; file delimiter; conversation_history; datasets header; header; columntype; columndatatype; string columntype; meta columndatatype; key; delimiter; delimiter string; meta; v1 datasets; request post; post url; data workspaceid; post
https://www.getmaxim.ai/docs/datasets/dataset/delete-dataset,Delete Dataset - Maxim Docs,2,api; delete; datasets header; api key; request delete; delete url; v1 datasets; key; datasets; curl request; ai v1; api getmaxim; header maxim; https api; key api; v1; curl; url https; https; getmaxim
https://www.getmaxim.ai/docs/datasets/dataset/get-datasets,Get Datasets - Maxim Docs,2,string; api; string string; datasets; api key; string columns; id string; key id; columndatatype string; string delimiter; columntype string; datasets header; columntype; columndatatype; string columntype; meta columndatatype; key; delimiter; delimiter string; string meta
https://www.getmaxim.ai/docs/datasets/dataset/update-dataset,Update Dataset - Maxim Docs,2,api; string; api key; datasets header; header; key; v1 datasets; string workspaceid; request url; header content; json header; type application; application json; workspaceid string; data id; workspaceid; content type; type; string string; datasets
https://www.getmaxim.ai/docs/evaluators/evaluator/create-evaluator,Create evaluator - Maxim Docs,2,string; operator string; 123; operator; value 123; 123 operator; string string; string value; value; entrylevel; runlevel; gradingstyle; string gradingstyle; passfailcriteria; string provider; provider string; string tags; model string; string type; value string
https://www.getmaxim.ai/docs/evaluators/evaluator/delete-evaluator,Delete evaluator - Maxim Docs,2,api; api key; key success; delete; evaluators header; success true; v1 evaluators; key; success; request delete; delete url; evaluator; unique identifier; unique; identifier; true; curl request; ai v1; api getmaxim; header maxim
https://www.getmaxim.ai/docs/evaluators/evaluator/execute-an-evaluator,Execute an evaluator - Maxim Docs,2,string; evaluator; api; javascript; api key; reasoning string; language; execute; string logs; evaluators execute; text string; v1 evaluators; result string; header; key; reasoning; string id; type; logs; string type
https://www.getmaxim.ai/docs/evaluators/evaluator/get-evaluators,Get evaluators - Maxim Docs,2,string; string value; operator string; operator; value string; value; api; pagination; cursor; api key; true; entrylevel; runlevel; gradingstyle; builtin; value 123; string gradingstyle; gradingstyle string; string passfailcriteria; passfailcriteria runlevel
https://www.getmaxim.ai/docs/evaluators/evaluator/update-evaluator,Update evaluator - Maxim Docs,2,string; operator string; 123; operator; value 123; 123 operator; string string; string value; value; entrylevel; runlevel; gradingstyle; string gradingstyle; passfailcriteria; string provider; provider string; string tags; evaluator; model string; value string
https://www.getmaxim.ai/docs/folders/folder-contents/get-folder-contents,Get Folder Contents - Maxim Docs,2,folder; api; pagination; api key; nextcursor; nextcursor string; v1 folders; pagination hasmore; fetched; key; hasmore; hasmore true; folders; 100; null; request url; unique identifier; unique; key data; identifier
https://www.getmaxim.ai/docs/folders/folder/create-folder,Create Folder - Maxim Docs,2,string; folder; parentid; entitytype workflow; workflow parentid; parentid string; entitytype; string entitytype; workflow; string config; api; workspaceid string; workspaceid; string string; api key; key; folders header; config; unknown data; v1 folders
https://www.getmaxim.ai/docs/folders/folder/get-folders,Get Folders - Maxim Docs,2,folder; string; api; pagination; folders; api key; nextcursor; nextcursor string; parentid; folders header; entitytype workflow; workflow parentid; parentid string; v1 folders; parent folder; null type; type folder; parentfolderid; pagination hasmore; entitytype
https://www.getmaxim.ai/docs/integrations/create-a-pagerduty-integration,Create a PagerDuty Integration - Maxim Docs,4,integration key; integration; pagerduty; service; key; pagerduty service; integrations; click; click add; enter; select; directory; routing; v2; paste; permission create; known; receive notifications; key enter; gather
https://www.getmaxim.ai/docs/integrations/create-a-slack-integration,Create a Slack Integration - Maxim Docs,4,slack; permission create; channel; receive notifications; permission; notifications; setting; receive; prerequisites; learn; ensure; want; workspace; url; create
https://www.getmaxim.ai/docs/integrations/integration/create-integration,Create Integration - Maxim Docs,2,string; slack; type slack; slack string; integration; string type; type; string config; api; api key; routingkey; routingkey string; integration integration; config; id string; v1 integrations; integrations header; header; key; string id
https://www.getmaxim.ai/docs/integrations/integration/delete-integration,Delete Integration - Maxim Docs,2,api; delete; v1 integrations; integrations header; api key; request delete; delete url; integrations; key; curl request; ai v1; api getmaxim; header maxim; https api; key api; delete integration; v1; curl; url https; https
https://www.getmaxim.ai/docs/integrations/integration/get-integrations,Get Integrations - Maxim Docs,2,api; string; pagination; cursor; integrations; api key; string hasmore; v1 integrations; integrations header; pagination cursor; type slack; slack string; key; cursor string; hasmore; hasmore true; slack; 100; string type; string config
https://www.getmaxim.ai/docs/integrations/integration/update-integration,Update Integration - Maxim Docs,2,string; slack; type slack; slack string; integration; string type; type; string config; api; api key; routingkey; routingkey string; integration integration; config; id string; v1 integrations; integrations header; header; key; string id
https://www.getmaxim.ai/docs/integrations/overview,Overview - Maxim Docs,0,started integrate; started; integrate; integrate openai; sdk started; sdk; python; openai; crewai; uv; openai sdk; python version; agents; mistral; quick start; langgraph; quick; livekit; langchain; maxim python
https://www.getmaxim.ai/docs/integrations/simulate-bedrock-agent,Simulate AWS Bedrock Agents - Maxim Docs,1,agent; bedrock; lambda; endpoint; test; sessionid; create; bedrock agent; conversation; aws; lambda function; function; context; click; http endpoint; simulation; scenario; http; dataset; click create
https://www.getmaxim.ai/docs/integrations/simulate-glean-agent,Simulate Glean Agents - Maxim Docs,1,glean; agent; endpoint; test; dataset; glean api; glean agent; scenario; http endpoint; token; step; api token; simulation; http; create; run; instance; simulated; agent glean; agent id
https://www.getmaxim.ai/docs/introduction/overview,Platform Overview - Maxim Docs,1,quality; production; datasets; experimentation; prompts; evaluations; data; evaluation; production quality; needs; human evaluations; tuning; enrich; prompts endpoints; production data; fine tuning; tuning needs; observability; fine; quality checks
https://www.getmaxim.ai/docs/introduction/running-your-first-eval,Running Your First Eval - Maxim Docs,1,endpoint; prompt; test; click; section click; tab; dataset; run; evaluators; navigate; create; prompt endpoint; prompts; configure; test run; evaluate; http; section; click create; http endpoint
https://www.getmaxim.ai/docs/library/concepts,Library Concepts - Maxim Docs,1,evaluators; evaluator; dataset; use; datasets; scenario; evaluators evaluators; cases; expected; splits; evaluation; human; grading; endpoints; programmatic evaluators; data curation; maxim; ai evaluators; curation; specific
https://www.getmaxim.ai/docs/library/context-sources,Context Sources - Maxim Docs,1,files; context; context source; rag pipeline; source; rag; endpoint; pipeline; pipeline maxim; context sources; sources; documents; api endpoint; upload; sources maxim; expose rag; simple endpoint; source linked; linked variable; selected evaluation
https://www.getmaxim.ai/docs/library/datasets/curate-datasets,Curate Datasets - Maxim Docs,1,dataset; human; curate; human annotations; add dataset; annotations; columns; button; click; click add; logs; select; evaluation; production; create; set test; emails; columns dataset; raters; card
